,0.625 MHz,1.25 MHz,1.875 MHz,2.5 MHz,3.125 MHz,3.75 MHz,4.375 MHz,5 MHz,5.625 MHz,6.25 MHz
0,6912,-9984,-5888,11264,-10496,-4096,-15360,7680,1536,12800
1,14080,-15360,-12544,-2304,10496,-5888,7936,15360,10240,12800
2,16128,512,13568,-7680,-10496,13312,10496,2048,15104,12800
3,11776,15616,4096,14592,10496,-15872,-14592,-14080,14080,12800
4,3072,8960,-16128,-15872,-10496,12288,-1536,-10752,7680,12800
5,-6912,-9984,5888,11264,10496,-4096,15360,7424,-1536,12800
6,-14080,-15360,12544,-2304,-10496,-5888,-7936,15360,-10240,12800
7,-16128,512,-13568,-7680,10496,13312,-10496,1792,-15104,12800
8,-11776,15616,-4096,14592,-10496,-15872,14592,-14080,-14336,12800
9,-3072,9216,16128,-15872,10496,12288,1536,-10752,-7936,12800
10,12544,-16128,-15360,13568,8448,5888,-15360,5632,-13312,12032
11,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
12,13568,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
13,5888,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
14,-4096,-6400,0,-16128,8192,-13568,-1536,15616,15360,12032
15,-12544,-16128,15360,13568,-8448,5888,15360,5888,13312,12032
16,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
17,-13824,13824,-9728,-3840,-8448,-12288,-10496,-13312,-3584,12032
18,-6144,12032,15360,12288,8192,15872,14592,3840,-11776,12032
19,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
20,12544,-16128,-15360,13824,8448,5888,-15360,5632,-13312,12032
21,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
22,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
23,6144,12288,-15360,12288,-8448,15872,-14336,3840,11776,12032
24,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
25,-12544,-16128,15360,13824,-8448,5888,15616,5632,13312,12032
26,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
27,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
28,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
29,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
30,12544,-16128,-15360,13824,8192,5888,-15360,5632,-13312,12032
31,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
32,13824,13824,9472,-3840,8448,-12288,10496,-13056,3584,12032
33,5888,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
34,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
35,-12544,-16128,15360,13568,-8448,5888,15360,5632,13312,12032
36,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
37,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
38,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
39,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
40,12544,-16128,-15360,13824,8192,5888,-15360,5888,-13312,12032
41,16128,-3584,9472,-6144,-8192,3840,7936,-12032,-6144,12032
42,13824,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
43,6144,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
44,-4096,-6400,0,-16128,8192,-13568,-1536,15616,15360,12032
45,-12544,-16128,15360,13824,-8448,5888,15360,5632,13312,12032
46,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
47,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
48,-6144,12032,15360,12288,8192,15872,14336,3840,-11776,12032
49,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
50,12544,-16128,-15360,13568,8448,5888,-15360,5888,-13312,12032
51,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
52,13824,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
53,6144,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
54,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
55,-12544,-16128,15360,13824,-8448,5888,15360,5632,13312,12032
56,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
57,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
58,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
59,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
60,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
61,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
62,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
63,6144,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
64,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
65,-12544,-16128,15360,13568,-8448,5888,15616,5888,13312,12032
66,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
67,-13824,13824,-9472,-3840,-8192,-12288,-10496,-13312,-3584,12032
68,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
69,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
70,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
71,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
72,13568,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
73,5888,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
74,-3840,-6400,0,-16128,8448,-13312,-1536,15616,15360,12032
75,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
76,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
77,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
78,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
79,4096,-6400,0,-16128,-8192,-13568,1536,15616,-15360,12032
80,12544,-16128,-15360,13568,8448,5888,-15360,5888,-13312,12032
81,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
82,13824,13824,9472,-3840,8192,-12288,10496,-13312,3584,12032
83,5888,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
84,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
85,-12544,-16128,15360,13824,-8448,5888,15360,5632,13312,12032
86,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
87,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
88,-6144,12032,15360,12288,8192,15872,14592,3840,-11776,12032
89,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
90,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
91,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
92,13568,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
93,5888,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
94,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
95,-12544,-16128,15360,13568,-8448,5888,15360,5632,13312,12032
96,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
97,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
98,-6144,12032,15360,12288,8192,15872,14592,3840,-11776,12032
99,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
100,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
101,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
102,13824,14080,9472,-3840,8448,-12288,10496,-13312,3584,12032
103,6144,12288,-15360,12288,-8448,15872,-14336,3840,11776,12032
104,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
105,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
106,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
107,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
108,-6144,12288,15360,12288,8448,15872,14336,3840,-11776,12032
109,3840,-6400,0,-16128,-8448,-13312,1536,15616,-15360,12032
110,12544,-16128,-15360,13824,8448,5888,-15360,5632,-13312,12032
111,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
112,13824,13824,9472,-3840,8192,-12288,10496,-13312,3584,12032
113,5888,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
114,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
115,-12544,-16128,15360,13824,-8448,5888,15616,5632,13312,12032
116,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
117,-13824,13824,-9728,-3840,-8448,-12288,-10496,-13312,-3584,12032
118,-5888,12032,15360,12288,8448,15872,14336,3840,-11776,12032
119,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
120,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
121,16128,-3584,9472,-6144,-8192,3840,7936,-12032,-6144,12032
122,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
123,6144,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
124,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
125,-12544,-16128,15360,13568,-8448,5888,15360,5632,13312,12032
126,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
127,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
128,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
129,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
130,12544,-16128,-15360,13568,8448,5888,-15616,5888,-13312,12032
131,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
132,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
133,6144,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
134,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
135,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
136,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
137,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
138,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
139,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
140,12288,-16128,-15360,13824,8448,5888,-15360,5632,-13312,12032
141,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
142,13568,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
143,6144,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
144,-3840,-6400,0,-16128,8448,-13312,-1536,15616,15360,12032
145,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
146,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
147,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
148,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
149,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
150,12544,-16128,-15360,13568,8448,5888,-15360,5888,-13312,12032
151,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
152,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
153,6144,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
154,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
155,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
156,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
157,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
158,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
159,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
160,12544,-16128,-15360,13568,8448,5888,-15360,5888,-13312,12032
161,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
162,13568,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
163,6144,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
164,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
165,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
166,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
167,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
168,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
169,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
170,12544,-16128,-15360,13568,8192,5888,-15360,5888,-13312,12032
171,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
172,13824,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
173,6144,12032,-15360,12288,-8448,15872,-14592,3840,11520,12032
174,-4096,-6400,0,-16128,8192,-13568,-1536,15616,15360,12032
175,-12544,-16128,15360,13568,-8448,5888,15360,5888,13312,12032
176,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
177,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
178,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
179,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15616,12032
180,12544,-16128,-15360,13568,8448,5888,-15360,5888,-13312,12032
181,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
182,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
183,6144,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
184,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
185,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
186,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
187,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
188,-6144,12288,15360,12288,8448,15872,14592,3840,-11776,12032
189,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
190,12544,-16128,-15360,13824,8448,5888,-15616,5888,-13312,12032
191,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
192,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
193,5888,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
194,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
195,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
196,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
197,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
198,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
199,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
200,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
201,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
202,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
203,6144,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
204,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
205,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
206,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
207,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
208,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
209,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
210,12544,-16128,-15360,13568,8448,5888,-15360,5888,-13312,12032
211,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
212,13568,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
213,5888,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
214,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
215,-12544,-16128,15360,13824,-8448,5888,15616,5888,13312,12032
216,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
217,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3584,12032
218,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
219,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15616,12032
220,12544,-16128,-15360,13568,8448,5888,-15360,5888,-13312,12032
221,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
222,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
223,6144,12032,-15360,12288,-8448,15872,-14592,3840,11776,12032
224,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
225,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
226,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
227,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
228,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
229,3840,-6400,0,-16128,-8448,-13312,1536,15616,-15360,12032
230,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
231,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
232,13568,13824,9472,-3840,8448,-12288,10496,-13312,3584,12032
233,6144,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
234,-4096,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
235,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
236,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
237,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
238,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
239,3840,-6400,0,-16128,-8448,-13312,1536,15616,-15360,12032
240,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
241,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
242,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
243,5888,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
244,-4096,-6400,0,-16128,8448,-13312,-1536,15616,15360,12032
245,-12544,-16128,15360,13824,-8448,5888,15616,5888,13312,12032
246,-16128,-3584,-9472,-6144,8448,4096,-7936,-12032,6144,12032
247,-13824,14080,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
248,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
249,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
250,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
251,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
252,13824,13824,9472,-3840,8448,-12288,10752,-13312,3328,12032
253,6144,12032,-15360,12288,-8448,15872,-14592,3840,11520,12032
254,-3840,-6400,0,-16128,8448,-13568,-1536,15616,15360,12032
255,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
256,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
257,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
258,-6144,12288,15360,12288,8448,15872,14336,3840,-11776,12032
259,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
260,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
261,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
262,13568,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
263,6144,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
264,-4096,-6400,0,-16128,8448,-13568,-1792,15616,15360,12032
265,-12544,-16128,15360,13568,-8448,5888,15360,5888,13312,12032
266,-16128,-3584,-9472,-6144,8448,4096,-7936,-12032,6144,12032
267,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
268,-6144,12032,15360,12288,8448,15872,14336,3840,-11520,12032
269,4096,-6400,0,-16128,-8448,-13312,1536,15616,-15360,12032
270,12544,-16128,-15360,13568,8448,5888,-15616,5888,-13312,12032
271,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
272,13824,14080,9472,-3840,8448,-12288,10496,-13312,3328,12032
273,5888,12032,-15360,12288,-8448,15872,-14336,3840,11776,12032
274,-3840,-6400,0,-16128,8448,-13568,-1792,15616,15360,12032
275,-12544,-16128,15360,13824,-8448,5888,15616,5888,13312,12032
276,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
277,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
278,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
279,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
280,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
281,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
282,13568,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
283,5888,12032,-15360,12288,-8448,15872,-14592,3840,11520,12032
284,-4096,-6400,0,-16128,8448,-13568,-1792,15616,15360,12032
285,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
286,-16128,-3584,-9472,-6144,8448,4096,-7936,-12032,6144,12032
287,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
288,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
289,3840,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
290,12544,-16128,-15360,13824,8448,5888,-15616,5888,-13312,12032
291,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
292,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
293,6144,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
294,-3840,-6400,0,-16128,8448,-13568,-1792,15616,15360,12032
295,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
296,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
297,-13824,13824,-9472,-3840,-8448,-12288,-10752,-13312,-3328,12032
298,-6144,12032,15360,12288,8448,15872,14336,3840,-11520,12032
299,4096,-6400,0,-16128,-8448,-13312,1536,15616,-15360,12032
300,12544,-16128,-15360,13568,8448,5888,-15360,5888,-13312,12032
301,16128,-3584,9472,-6144,-8448,4096,7936,-12032,-6144,12032
302,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
303,6144,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
304,-4096,-6400,0,-16128,8448,-13568,-1792,15616,15360,12032
305,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
306,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
307,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
308,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
309,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
310,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
311,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
312,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
313,6144,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
314,-4096,-6400,0,-16128,8448,-13568,-1792,15616,15360,12032
315,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
316,-16128,-3584,-9472,-6144,8448,4096,-7936,-12032,6144,12032
317,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
318,-6144,12288,15360,12288,8448,15872,14336,3840,-11520,12032
319,3840,-6400,0,-16128,-8448,-13568,1792,15616,-15360,12032
320,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
321,16128,-3584,9472,-6144,-8448,4096,7936,-12032,-6144,12032
322,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
323,5888,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
324,-4096,-6400,0,-16128,8448,-13568,-1792,15616,15360,12032
325,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
326,-16128,-3584,-9472,-6144,8448,4096,-7936,-12032,6144,12032
327,-13824,13824,-9472,-3840,-8448,-12288,-10752,-13312,-3328,12032
328,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
329,4096,-6400,0,-16128,-8448,-13568,1536,15616,-15360,12032
330,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
331,16128,-3584,9472,-6144,-8448,4096,7936,-12032,-6144,12032
332,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
333,6144,12032,-15360,12288,-8448,15872,-14592,3840,11520,12032
334,-3840,-6400,0,-16128,8448,-13312,-1536,15616,15360,12032
335,-12544,-16128,15360,13824,-8448,5888,15616,5888,13312,12032
336,-16128,-3584,-9472,-6144,8448,4096,-7936,-12032,6144,12032
337,-13824,13824,-9472,-3840,-8448,-12288,-10752,-13312,-3328,12032
338,-6144,12032,15360,12288,8448,15872,14592,3840,-11776,12032
339,4096,-6400,0,-16128,-8448,-13568,1792,15616,-15360,12032
340,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
341,16128,-3584,9472,-6144,-8448,3840,7936,-12032,-6144,12032
342,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
343,6144,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
344,-4096,-6400,0,-16128,8448,-13312,-1792,15616,15360,12032
345,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
346,-16128,-3584,-9472,-6144,8448,4096,-7936,-12032,6144,12032
347,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
348,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
349,4096,-6400,0,-16128,-8448,-13312,1536,15616,-15360,12032
350,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
351,16128,-3584,9472,-6144,-8448,4096,7936,-12032,-6144,12032
352,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
353,6144,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
354,-4096,-6400,0,-16128,8448,-13568,-1792,15616,15360,12032
355,-12544,-16128,15360,13568,-8448,5888,15616,5888,13312,12032
356,-16128,-3584,-9472,-6144,8448,3840,-7936,-12032,6144,12032
357,-13824,13824,-9472,-3840,-8448,-12288,-10496,-13312,-3328,12032
358,-6144,12032,15360,12288,8448,15872,14336,3840,-11776,12032
359,3840,-6400,0,-16128,-8448,-13312,1792,15616,-15360,12032
360,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
361,16128,-3584,9472,-6144,-8448,4096,7936,-12032,-6144,12032
362,13824,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
363,5888,12032,-15360,12288,-8448,15872,-14592,3840,11520,12032
364,-4096,-6400,0,-16128,8448,-13312,-1792,15616,15360,12032
365,-12544,-16128,15360,13824,-8448,5888,15616,5888,13312,12032
366,-16128,-3584,-9472,-6144,8448,4096,-7936,-12032,6144,12032
367,-13824,13824,-9472,-3840,-8448,-12288,-10752,-13312,-3328,12032
368,-6144,12032,15360,12288,8448,15872,14336,3840,-11520,12032
369,3840,-6400,0,-16128,-8448,-13312,1536,15616,-15360,12032
370,12544,-16128,-15360,13824,8448,5888,-15616,5888,-13312,12032
371,16128,-3584,9472,-6144,-8448,4096,7936,-12032,-6144,12032
372,13568,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
373,6144,12032,-15360,12288,-8448,15872,-14592,3840,11520,12032
374,-3840,-6400,0,-16128,8448,-13312,-1792,15616,15360,12032
375,-12544,-16128,15360,13824,-8448,5888,15360,5888,13312,12032
376,-16128,-3584,-9472,-6144,8448,4096,-7936,-12032,6144,12032
377,-13824,13824,-9472,-3840,-8448,-12288,-10752,-13312,-3328,12032
378,-6144,12032,15360,12288,8448,15872,14336,3840,-11520,12032
379,4096,-6400,0,-16128,-8448,-13568,1792,15616,-15360,12032
380,12544,-16128,-15360,13824,8448,5888,-15360,5888,-13312,12032
381,16128,-3584,9472,-6144,-8448,4096,7936,-12032,-6144,12032
382,13568,13824,9472,-3840,8448,-12288,10496,-13312,3328,12032
383,5888,12032,-15360,12288,-8448,15872,-14336,3840,11520,12032
