,0.625 MHz,1.25 MHz,1.875 MHz,2.5 MHz,3.125 MHz,3.75 MHz,4.375 MHz,5 MHz,5.625 MHz,6.25 MHz
10487,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10488,-5632,11520,15616,11008,9984,15872,13056,512,-8960,14080
10489,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10490,12800,-15872,-14848,14592,10240,3328,-15872,8704,-14848,14080
10491,16128,-2816,10496,-7680,-10240,6400,5120,-9728,-9472,14080
10492,13568,14336,8448,-2048,10240,-13824,12544,-14592,-256,14080
10493,5632,11520,-15616,11008,-10240,15872,-13056,512,8704,14080
10494,-4352,-7168,1280,-15872,9984,-11776,-4608,15104,14592,14080
10495,-12800,-15872,14848,14592,-10240,3328,15872,8704,14848,14080
10496,-16128,-2816,-10496,-7680,10240,6400,-5120,-9728,9472,14080
10497,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10498,-5632,11520,15872,11008,10240,15872,13056,512,-8960,14080
10499,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10500,12800,-15872,-15104,14592,9984,3328,-15872,8704,-14848,14080
10501,16128,-2560,10496,-7680,-10240,6400,5120,-9728,-9216,14080
10502,13568,14336,8448,-2048,9984,-13824,12544,-14592,-256,14080
10503,5632,11520,-15616,11008,-10240,15872,-13056,512,8704,14080
10504,-4352,-7168,1280,-15872,10240,-11776,-4608,15104,14592,14080
10505,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10506,-16384,-2816,-10496,-7680,10240,6400,-5120,-9728,9216,14080
10507,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10508,-5632,11520,15616,11008,9984,15872,13056,512,-8960,14080
10509,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10510,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10511,16128,-2816,10496,-7680,-10240,6400,5120,-9728,-9472,14080
10512,13568,14336,8448,-2048,10240,-13824,12544,-14592,-256,14080
10513,5632,11520,-15616,11008,-10240,15872,-13056,512,8960,14080
10514,-4352,-7168,1280,-15872,10240,-11776,-4608,15104,14592,14080
10515,-12800,-16128,15104,14592,-10240,3328,15872,8704,14848,14080
10516,-16128,-2816,-10496,-7680,10240,6400,-5376,-9728,9216,14080
10517,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14592,256,14080
10518,-5632,11520,15616,11008,9984,15872,13056,512,-8960,14080
10519,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10520,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10521,16128,-2560,10496,-7680,-10240,6400,5120,-9728,-9472,14080
10522,13568,14336,8448,-2048,9984,-13824,12544,-14848,-256,14080
